ID,Airline,Tail,ACPU_Version,KANDU_Version,Modem_Version,Aircraft_Type,Flight_Num,Departure_Airport,Arrival_Airport,Departure_Date_UTC,Arrival_Date_UTC,ASA_Mins,Theory_Availability,Actual_Time,Handoff_Time,Not_Connected_Time,Regulatory_Time,Out_Of_Network_Time,ACPU_Reset_Time,Ping_Availability,VTP_Ping_Availability,RTT_30,RTT_50,RTT_95,RTT_Average,Ux_Low_Rate,Ux_Median_Rate,Num_VTP_Resets,Num_VTP_Timeouts,Beams,HO_Success,HO_Failures,HO_Times,Forward_Link_Bytes,Reverse_Link_Bytes,GNMS_Forward_Link_Bytes,GNMS_Reverse_Link_Bytes,Modem_Forward_Link_Bytes,Modem_Reverse_Link_Bytes,Max_Num_Auth_Pass,Num_ACPU_Resets
9594093,DAL,N310DN,10.11.0,05.32.01,50.10.23.22,321-200,DAL2819,KMSP,KSLC,12/7/19 23:49,12/8/19 02:39,142,100,100,0,0,0,0,0,88.5,87.8,651,666,1551,834,39.75,47.73,0,35,3,2,0,0,14847.8,961.2,2082.7,452.3,14703.3,475.3,29,0
9595813,DAL,N324US,10.11.0,05.32.01,50.10.23.22,320-200,DAL1241,KSLC,KSFO,12/8/19 00:58,12/8/19 02:39,85,100,100,0,0,0,0,0,99.2,96.9,631,643,703,654,10.33,10.33,0,1,2,1,0,0,17526.6,168.6,10123.4,88.2,17921.3,82.9,9,0
9595103,DAL,N366NB,10.11.0,05.32.01,50.10.23.22,319-100,DAL936,KSLC,KSFO,12/8/19 01:33,12/8/19 03:17,86,100,100,0,0,0,0,0,98.5,97.3,643,650,815,677,21.52,21.52,0,4,2,1,0,0,8791.8,146,1108.6,83.8,8795.9,74.4,16,0
9598135,DAL,N844DN,10.11.0,05.32.01,50.10.23.22,737-900,DAL2563,KDTW,KTPA,12/8/19 01:53,12/8/19 03:52,106,100,100,0,0,0,0,0,93.1,94.3,650,657,1252,733,54.21,57.64,0,5,1,0,0,,10921.1,589.2,1236.6,238.1,10839.9,288.9,22,0
9597997,DAL,N354NW,10.11.0,05.32.01,50.10.23.22,320-200,DAL1178,KSEA,KSAN,12/8/19 02:56,12/8/19 05:14,122,100,100,0,0,0,0,0,97.8,97.5,637,660,1118,714,8.52,15.37,0,9,3,2,0,0,14045.6,886.8,3003.8,459.3,13984.9,431.4,24,0
9600235,DAL,N654DL,10.11.0,05.32.01,50.10.23.22,757-200,DAL8932,KSLC,KSFO,12/8/19 06:48,12/8/19 08:26,79,100,100,0,0,0,0,0,96.3,97.5,626,633,660,640,,,0,5,3,3,0,60,15805.3,872,10568.2,490.9,16063.7,435.1,39,0
9605127,DAL,N849DN,10.11.0,05.32.01,50.10.23.22,737-900,DAL1329,KDTW,KTPA,12/8/19 13:05,12/8/19 15:19,114,100,98.4,0,1.6,0,0,0,95.7,94.8,654,666,1041,707,1.91,18.35,0,6,1,0,0,,11163.9,430.3,741.5,211,11023.2,199.7,10,0
9606267,DAL,N304DN,10.11.0,05.32.01,50.10.23.22,321-200,DAL1972,KAUS,KJFK,12/8/19 14:03,12/8/19 17:19,179,99.4,89,0,2,0,0.6,8.5,91,91,641,647,734,675,51.18,63.62,0,3,1,0,0,,20606.6,1954.6,5932.1,933.3,21222.3,978.1,31,2
9606199,DAL,N3757D,10.11.0,05.32.01,50.10.23.22,737-800,DAL2795,KMSP,KSLC,12/8/19 14:44,12/8/19 17:11,130,100,100,0,0,0,0,0,98.7,98.2,651,659,764,674,13.05,37.27,0,5,3,2,0,0,14082.1,426.7,2306.2,224.1,13963.5,215.6,25,0
9606721,DAL,N844DN,10.11.0,05.32.01,50.10.23.22,737-900,DAL1314,KDTW,KTPA,12/8/19 15:18,12/8/19 17:28,114,100,100,0,0,0,0,0,98,98,653,666,745,675,51.66,51.72,0,0,1,0,0,,11738.3,375.3,1515.6,180.3,11727.4,188.1,15,0
